name,url,price,sentiment
crevacoin,http://www.crevacoin.com/,8.97e-4,NA
crown,http://crown.tech/,1.31,-1
crtcoin,http://crtcoin.com/,0.31672,NA
cryptcoin,http://cryptco.org/,0.161593,NA
crypto,http://tailflick.wix.com/official-crypto,0.010227,-0.23076923076923078
cryptocarbon,https://cryptocarbon.co.uk/,0.260407,NA
cryptoescudo,http://www.cryptoescudo.org/,2.64e-4,NA
cryptojacks,http://cryptojacks.com/,3.29e-4,NA
cryptonex,https://cryptonex.org/,1.17,NA
cryptonite,http://cryptonite.info,0.005075,NA
cubits,http://qbt.scificrypto.info/,5.95e-4,NA
curecoin,https://curecoin.net/,0.275058,0.375
cybcsec,https://cybcsec.com/,0.0064,NA
cybercoin,http://www.cybercoin.space/,1.32e-4,NA
cycling-coin,https://bitcointalk.org/index.php?topic=1117611.0,9.9e-4,NA
cyder,https://bitcointalk.org/index.php?topic=2097594.0,8.58e-4,NA
cypher,https://bitcointalk.org/index.php?topic=1006527.0,0.00838,-0.46153846153846156
dappster,https://dlisk.com/,3.3e-4,NA
darklisk,https://bitcointalk.org/index.php?topic=1431075.0,5.94e-4,NA
darsek,http://ked.scificrypto.info/,0.008606,NA
das,http://dascryptocash.org/,0.012876,0.125
dash,https://www.dash.org/,329.57,-0.4666666666666667
dashcoin,NA,0.020591,NA
dashs,http://dashscrypt.com/,0.019663,NA
daxxcoin,https://daxxcoin.org/,6.53e-4,NA
debitcoin,https://debitcoin.xyz/,0.002507,0.4375
decent,https://decent.ch/,0.417346,-0.07272727272727272
decred,https://www.decred.org/,30.27,0.5882352941176471
deeponion,https://deeponion.org/,0.578273,NA
deltacredits,https://bitcointalk.org/index.php?topic=1155319.0,0.169775,NA
denarius,http://www.denarius.info,3.9e-5,NA
desire,http://www.desire-crypto.com/,0.612993,0
destiny,https://bitcointalk.org/index.php?topic=1416068.0,0.008512,-0.35714285714285715
deuscoin,http://deuscoin.org/,0.402499,NA
deutsche-emark,http://deutsche-emark.de/,0.01104,NA
devcoin,http://devcoin.org,1.3e-5,NA
dfscoin,http://dfscoins.com/,0.007212,NA
diamond,http://bit.diamonds,8.56,-0.6666666666666666
digibyte,http://www.digibyte.io/,0.008958,NA
digicube,http://www.freestaking.com,6.6e-5,NA
digital-credits,http://dcredits.com/,6.6e-5,NA
digital-rupees,https://www.digitalrs.me/,1.32e-4,NA
digitalcoin,http://digitalcoin.co,0.005111,NA
digitalnote,http://digitalnote.org/,0.002194,NA
digitalprice,http://digitalprice.org/,0.027327,NA
dimecoin,http://www.dimecoin.rocks/,1.2e-5,NA
dinastycoin,http://www.dinastycoin.com/,6.29e-4,NA
dnotes,http://dnotescoin.com/,0.021307,0.3125
dogecoin,http://dogecoin.com/,0.001163,0.2564102564102564
dollar-online,http://www.edollar.online/,0.019861,NA
